Classifier,Training Time (s),Train Accuracy (%),Validation Accuracy (%),Test Accuracy (%),Precision,Recall,F1-Score
SVM,0.35,99.8,96.95,96.96,0.9716,0.9696,0.9695
KNN,0.0,100.0,96.95,96.35,0.9639,0.9635,0.9636
ANN,0.54,99.35,94.51,94.22,0.9429,0.9422,0.9423
XGBoost,1.54,100.0,95.12,93.92,0.9402,0.9392,0.9389
Random Forest,0.16,100.0,95.43,93.62,0.9363,0.9362,0.936
Decision Tree,0.22,98.43,92.07,89.97,0.8997,0.8997,0.8995
